FID,PAR20CD,PAR20NM,WD20CD,WD20NM,LAD20CD,LAD20NM
1,E04011378,Welshampton and Lyneal,E05008192,The Meres,E06000051,Shropshire
2,E04011358,Shrewsbury,E05008193,Underdale,E06000051,Shropshire
3,E04011379,Wem Rural,E05008194,Wem,E06000051,Shropshire
4,E04011380,Wem Urban,E05008194,Wem,E06000051,Shropshire
5,E04011391,Whixall,E05008194,Wem,E06000051,Shropshire
6,E04011388,Whitchurch Urban,E05008195,Whitchurch North,E06000051,Shropshire
7,E04011387,Whitchurch Rural,E05008196,Whitchurch South,E06000051,Shropshire
8,E04011388,Whitchurch Urban,E05008196,Whitchurch South,E06000051,Shropshire
9,E04011213,Badger,E05008198,Worfield,E06000051,Shropshire
10,E04011217,Beckbury,E05008198,Worfield,E06000051,Shropshire
11,E04011294,Kemberton,E05008198,Worfield,E06000051,Shropshire
12,E04011348,Rudge,E05008198,Worfield,E06000051,Shropshire
13,E04011351,Ryton,E05008198,Worfield,E06000051,Shropshire
14,E04011366,Stockton,E05008198,Worfield,E06000051,Shropshire
15,E04011371,Sutton Maddock,E05008198,Worfield,E06000051,Shropshire
16,E04011396,Worfield,E05008198,Worfield,E06000051,Shropshire
17,E04011352,Selattyn and Gobowen,E05009281,"Gobowen, Selattyn and Weston Rhyn",E06000051,Shropshire
18,E04011384,Weston Rhyn,E05009281,"Gobowen, Selattyn and Weston Rhyn",E06000051,Shropshire
19,E04012255,Oswestry Rural,E05009281,"Gobowen, Selattyn and Weston Rhyn",E06000051,Shropshire
20,E04012254,Oswestry,E05009282,Oswestry East,E06000051,Shropshire
21,E04012254,Oswestry,E05009283,Oswestry South,E06000051,Shropshire
22,E04012254,Oswestry,E05009284,Oswestry West,E06000051,Shropshire
23,E04011215,Baschurch,E05009285,Ruyton and Baschurch,E06000051,Shropshire
24,E04011291,Hordley,E05009285,Ruyton and Baschurch,E06000051,Shropshire
25,E04012266,Ruyton-XI-Towns,E05009285,Ruyton and Baschurch,E06000051,Shropshire
26,E04012255,Oswestry Rural,E05009286,St Oswald,E06000051,Shropshire
27,E04012256,Whittington,E05009287,Whittington,E06000051,Shropshire
28,E04012267,West Felton,E05009287,Whittington,E06000051,Shropshire
29,E04011400,Altarnun,E05009159,Altarnun,E06000052,Cornwall
30,E04011457,Laneast,E05009159,Altarnun,E06000052,Cornwall
31,E04011469,Lewannick,E05009159,Altarnun,E06000052,Cornwall
32,E04011496,North Hill,E05009159,Altarnun,E06000052,Cornwall
33,E04011404,Bodmin,E05009160,Bodmin St Leonard,E06000052,Cornwall
34,E04011404,Bodmin,E05009161,Bodmin St Mary's,E06000052,Cornwall
35,E04011404,Bodmin,E05009162,Bodmin St Petroc,E06000052,Cornwall
36,E04011407,Breage,E05009163,"Breage, Germoe and Sithney",E06000052,Cornwall
37,E04011437,Germoe,E05009163,"Breage, Germoe and Sithney",E06000052,Cornwall
38,E04011523,Sithney,E05009163,"Breage, Germoe and Sithney",E06000052,Cornwall
39,E04011409,Bude-Stratton,E05009164,Bude,E06000052,Cornwall
40,E04011476,Luxulyan,E05009165,Bugle,E06000052,Cornwall
41,E04011598,Treverbyn,E05009165,Bugle,E06000052,Cornwall
42,E04011411,Callington,E05009166,Callington,E06000052,Cornwall
43,E04011413,Camborne,E05009167,Camborne Pendarves,E06000052,Cornwall
44,E04011413,Camborne,E05009168,Camborne Roskear,E06000052,Cornwall
45,E04011413,Camborne,E05009169,Camborne Trelowarren,E06000052,Cornwall
46,E04011413,Camborne,E05009170,Camborne Treslothan,E06000052,Cornwall
47,E04011413,Camborne,E05009171,Camborne Treswithian,E06000052,Cornwall
48,E04011414,Camelford,E05009172,Camelford,E06000052,Cornwall
49,E04011427,Davidstow,E05009172,Camelford,E06000052,Cornwall
50,E04011537,St. Clether,E05009172,Camelford,E06000052,Cornwall
51,E04011594,Tremaine,E05009172,Camelford,E06000052,Cornwall
52,E04011595,Treneglos,E05009172,Camelford,E06000052,Cornwall
53,E04011596,Tresmeer,E05009172,Camelford,E06000052,Cornwall
54,E04011416,Carharrack,E05009173,"Carharrack, Gwennap and St Day",E06000052,Cornwall
55,E04011443,Gwennap,E05009173,"Carharrack, Gwennap and St Day",E06000052,Cornwall
56,E04011539,St. Day,E05009173,"Carharrack, Gwennap and St Day",E06000052,Cornwall
57,E04011419,Chacewater,E05009174,"Chacewater, Kenwyn and Baldhu",E06000052,Cornwall
58,E04011450,Kea,E05009174,"Chacewater, Kenwyn and Baldhu",E06000052,Cornwall
59,E04011451,Kenwyn,E05009174,"Chacewater, Kenwyn and Baldhu",E06000052,Cornwall
60,E04011410,Budock,E05009175,"Constantine, Mawnan and Budock",E06000052,Cornwall
61,E04011421,Constantine,E05009175,"Constantine, Mawnan and Budock",E06000052,Cornwall
62,E04011485,Mawnan,E05009175,"Constantine, Mawnan and Budock",E06000052,Cornwall
63,E04011423,Crowan,E05009176,Crowan and Wendron,E06000052,Cornwall
64,E04011607,Wendron,E05009176,Crowan and Wendron,E06000052,Cornwall
65,E04011433,Falmouth,E05009177,Falmouth Arwenack,E06000052,Cornwall
66,E04011433,Falmouth,E05009178,Falmouth Boslowick,E06000052,Cornwall
67,E04011433,Falmouth,E05009179,Falmouth Penwerris,E06000052,Cornwall
68,E04011433,Falmouth,E05009180,Falmouth Smithick,E06000052,Cornwall
69,E04011433,Falmouth,E05009181,Falmouth Trescobeas,E06000052,Cornwall
70,E04011434,Feock,E05009182,Feock and Playing Place,E06000052,Cornwall
71,E04011450,Kea,E05009182,Feock and Playing Place,E06000052,Cornwall
72,E04011418,Carn Brea,E05009183,Four Lanes,E06000052,Cornwall
73,E04011436,Fowey,E05009184,Fowey and Tywardreath,E06000052,Cornwall
74,E04011579,St. Sampson,E05009184,Fowey and Tywardreath,E06000052,Cornwall
75,E04011601,Tywardreath and Par,E05009184,Fowey and Tywardreath,E06000052,Cornwall
76,E04011409,Bude-Stratton,E05009185,Grenville and Stratton,E06000052,Cornwall
77,E04011452,Kilkhampton,E05009185,Grenville and Stratton,E06000052,Cornwall
78,E04011465,Launcells,E05009185,Grenville and Stratton,E06000052,Cornwall
79,E04011492,Morwenstow,E05009185,Grenville and Stratton,E06000052,Cornwall
80,E04011505,Penzance,E05009186,Gulval and Heamoor,E06000052,Cornwall
81,E04011412,Calstock,E05009187,Gunnislake and Calstock,E06000052,Cornwall
82,E04011444,Gwinear-Gwithian,E05009188,Gwinear-Gwithian and St Erth,E06000052,Cornwall
83,E04011545,St. Erth,E05009188,Gwinear-Gwithian and St Erth,E06000052,Cornwall
84,E04011445,Hayle,E05009189,Hayle North,E06000052,Cornwall
85,E04011445,Hayle,E05009190,Hayle South,E06000052,Cornwall
86,E04011447,Helston,E05009191,Helston North,E06000052,Cornwall
87,E04011447,Helston,E05009192,Helston South,E06000052,Cornwall
88,E04011418,Carn Brea,E05009193,Illogan,E06000052,Cornwall
89,E04011448,Illogan,E05009193,Illogan,E06000052,Cornwall
90,E04011453,Ladock,E05009194,"Ladock, St Clement and St Erme",E06000052,Cornwall
91,E04011527,St. Allen,E05009194,"Ladock, St Clement and St Erme",E06000052,Cornwall
92,E04011536,St. Clement,E05009194,"Ladock, St Clement and St Erme",E06000052,Cornwall
93,E04011544,St. Erme,E05009194,"Ladock, St Clement and St Erme",E06000052,Cornwall
94,E04011402,Blisland,E05009195,Lanivet and Blisland,E06000052,Cornwall
95,E04011415,Cardinham,E05009195,Lanivet and Blisland,E06000052,Cornwall
96,E04011446,Helland,E05009195,Lanivet and Blisland,E06000052,Cornwall
97,E04011458,Lanhydrock,E05009195,Lanivet and Blisland,E06000052,Cornwall
98,E04011459,Lanivet,E05009195,Lanivet and Blisland,E06000052,Cornwall
99,E04011610,Withiel,E05009195,Lanivet and Blisland,E06000052,Cornwall
100,E04011461,Lanner,E05009196,Lanner and Stithians,E06000052,Cornwall
101,E04011588,Stithians,E05009196,Lanner and Stithians,E06000052,Cornwall
102,E04011466,Launceston,E05009197,Launceston Central,E06000052,Cornwall
103,E04011406,Boyton,E05009198,Launceston North and North Petherwin,E06000052,Cornwall
104,E04011432,Egloskerry,E05009198,Launceston North and North Petherwin,E06000052,Cornwall
105,E04011466,Launceston,E05009198,Launceston North and North Petherwin,E06000052,Cornwall
106,E04011497,North Petherwin,E05009198,Launceston North and North Petherwin,E06000052,Cornwall
107,E04011581,St. Stephens by Launceston Rural,E05009198,Launceston North and North Petherwin,E06000052,Cornwall
108,E04011583,St. Thomas the Apostle Rural,E05009198,Launceston North and North Petherwin,E06000052,Cornwall
109,E04011608,Werrington,E05009198,Launceston North and North Petherwin,E06000052,Cornwall
110,E04011466,Launceston,E05009199,Launceston South,E06000052,Cornwall
111,E04011556,St. Ives,E05009200,Lelant and Carbis Bay,E06000052,Cornwall
112,E04011472,Liskeard,E05009201,Liskeard East,E06000052,Cornwall
113,E04011472,Liskeard,E05009202,Liskeard North,E06000052,Cornwall
114,E04011429,Dobwalls and Trewidland,E05009203,Liskeard West and Dobwalls,E06000052,Cornwall
115,E04011472,Liskeard,E05009203,Liskeard West and Dobwalls,E06000052,Cornwall
116,E04011473,Looe,E05009204,Looe East,E06000052,Cornwall
117,E04011566,St. Martin-by-Looe,E05009204,Looe East,E06000052,Cornwall
118,E04011463,Polperro,E05009205,"Looe West, Lansallos and Lanteglos",E06000052,Cornwall
119,E04011464,Lanteglos,E05009205,"Looe West, Lansallos and Lanteglos",E06000052,Cornwall
120,E04011473,Looe,E05009205,"Looe West, Lansallos and Lanteglos",E06000052,Cornwall
121,E04011403,Boconnoc,E05009206,Lostwithiel,E06000052,Cornwall
122,E04011408,Broadoak,E05009206,Lostwithiel,E06000052,Cornwall
123,E04011460,Lanlivery,E05009206,Lostwithiel,E06000052,Cornwall
124,E04011474,Lostwithiel,E05009206,Lostwithiel,E06000052,Cornwall
125,E04011585,St. Veep,E05009206,Lostwithiel,E06000052,Cornwall
126,E04011587,St. Winnow,E05009206,Lostwithiel,E06000052,Cornwall
127,E04011475,Ludgvan,E05009207,Ludgvan,E06000052,Cornwall
128,E04011478,Madron,E05009207,Ludgvan,E06000052,Cornwall
129,E04011490,Morvah,E05009207,Ludgvan,E06000052,Cornwall
130,E04011611,Zennor,E05009207,Ludgvan,E06000052,Cornwall
131,E04011471,Linkinhorne,E05009208,Lynher,E06000052,Cornwall
132,E04011524,South Hill,E05009208,Lynher,E06000052,Cornwall
133,E04011555,St. Ive,E05009208,Lynher,E06000052,Cornwall
134,E04011477,Mabe,E05009209,"Mabe, Perranarworthal and St Gluvias",E06000052,Cornwall
135,E04011506,Perranarworthal,E05009209,"Mabe, Perranarworthal and St Gluvias",E06000052,Cornwall
136,E04011551,St. Gluvias,E05009209,"Mabe, Perranarworthal and St Gluvias",E06000052,Cornwall
137,E04011481,Marazion,E05009210,Marazion and Perranuthnoe,E06000052,Cornwall
138,E04011507,Perranuthnoe,E05009210,Marazion and Perranuthnoe,E06000052,Cornwall
139,E04011553,St. Hilary,E05009210,Marazion and Perranuthnoe,E06000052,Cornwall
140,E04011573,St. Michael's Mount,E05009210,Marazion and Perranuthnoe,E06000052,Cornwall
141,E04011429,Dobwalls and Trewidland,E05009211,Menheniot,E06000052,Cornwall
142,E04011486,Menheniot,E05009211,Menheniot,E06000052,Cornwall
143,E04011515,Quethiock,E05009211,Menheniot,E06000052,Cornwall
144,E04011563,St. Keyne,E05009211,Menheniot,E06000052,Cornwall
145,E04011578,St. Pinnock,E05009211,Menheniot,E06000052,Cornwall
146,E04011487,Mevagissey,E05009212,Mevagissey,E06000052,Cornwall
147,E04011504,Pentewan Valley,E05009212,Mevagissey,E06000052,Cornwall
148,E04011552,St. Goran,E05009212,Mevagissey,E06000052,Cornwall
149,E04011529,St Austell,E05009213,Mount Charles,E06000052,Cornwall
150,E04011512,Portreath,E05009214,Mount Hawke and Portreath,E06000052,Cornwall
151,E04011526,St. Agnes,E05009214,Mount Hawke and Portreath,E06000052,Cornwall
152,E04011439,Grade-Ruan,E05009215,Mullion and Grade-Ruan,E06000052,Cornwall
153,E04011454,Landewednack,E05009215,Mullion and Grade-Ruan,E06000052,Cornwall
154,E04011493,Mullion,E05009215,Mullion and Grade-Ruan,E06000052,Cornwall
155,E04011422,Crantock,E05009216,Newlyn and Goonhavern,E06000052,Cornwall
156,E04011424,Cubert,E05009216,Newlyn and Goonhavern,E06000052,Cornwall
157,E04011508,Perranzabuloe,E05009216,Newlyn and Goonhavern,E06000052,Cornwall
158,E04011577,St. Newlyn East,E05009216,Newlyn and Goonhavern,E06000052,Cornwall
159,E04011505,Penzance,E05009217,Newlyn and Mousehole,E06000052,Cornwall
160,E04011495,Newquay,E05009218,Newquay Central,E06000052,Cornwall
161,E04011495,Newquay,E05009219,Newquay Pentire,E06000052,Cornwall
162,E04011495,Newquay,E05009220,Newquay Treloggan,E06000052,Cornwall
163,E04011495,Newquay,E05009221,Newquay Tretherras,E06000052,Cornwall
164,E04011495,Newquay,E05009222,Newquay Treviglas,E06000052,Cornwall
165,E04011500,Padstow,E05009223,Padstow,E06000052,Cornwall
166,E04011569,St. Merryn,E05009223,Padstow,E06000052,Cornwall
167,E04011531,St. Blaise,E05009224,Par and St Blazey Gate,E06000052,Cornwall
168,E04011601,Tywardreath and Par,E05009224,Par and St Blazey Gate,E06000052,Cornwall
169,E04011494,Mylor,E05009225,Penryn East and Mylor,E06000052,Cornwall
170,E04011503,Penryn,E05009225,Penryn East and Mylor,E06000052,Cornwall
171,E04011503,Penryn,E05009226,Penryn West,E06000052,Cornwall
172,E04011598,Treverbyn,E05009227,Penwithick and Boscoppa,E06000052,Cornwall
173,E04011505,Penzance,E05009228,Penzance Central,E06000052,Cornwall
174,E04011505,Penzance,E05009229,Penzance East,E06000052,Cornwall
175,E04011505,Penzance,E05009230,Penzance Promenade,E06000052,Cornwall
176,E04011508,Perranzabuloe,E05009231,Perranporth,E06000052,Cornwall
177,E04011418,Carn Brea,E05009232,Pool and Tehidy,E06000052,Cornwall
178,E04011448,Illogan,E05009232,Pool and Tehidy,E06000052,Cornwall
179,E04011447,Helston,E05009233,Porthleven and Helston West,E06000052,Cornwall
180,E04011511,Porthleven,E05009233,Porthleven and Helston West,E06000052,Cornwall
181,E04011449,Jacobstow,E05009234,Poundstock,E06000052,Cornwall
182,E04011482,Marhamchurch,E05009234,Poundstock,E06000052,Cornwall
183,E04011498,North Tamerton,E05009234,Poundstock,E06000052,Cornwall
184,E04011513,Poundstock,E05009234,Poundstock,E06000052,Cornwall
185,E04011549,St. Gennys,E05009234,Poundstock,E06000052,Cornwall
186,E04011606,Week St. Mary,E05009234,Poundstock,E06000052,Cornwall
187,E04011609,Whitstone,E05009234,Poundstock,E06000052,Cornwall
188,E04011425,Cuby,E05009235,"Probus, Tregony and Grampound",E06000052,Cornwall
189,E04011440,Grampound with Creed,E05009235,"Probus, Tregony and Grampound",E06000052,Cornwall
190,E04011514,Probus,E05009235,"Probus, Tregony and Grampound",E06000052,Cornwall
191,E04011593,Tregoney,E05009235,"Probus, Tregony and Grampound",E06000052,Cornwall
192,E04011401,Antony,E05009236,Rame Peninsular,E06000052,Cornwall
193,E04011479,Maker-with-Rame,E05009236,Rame Peninsular,E06000052,Cornwall
194,E04011489,Millbrook,E05009236,Rame Peninsular,E06000052,Cornwall
195,E04011522,Sheviock,E05009236,Rame Peninsular,E06000052,Cornwall
196,E04011557,St. John,E05009236,Rame Peninsular,E06000052,Cornwall
197,E04011516,Redruth,E05009237,Redruth Central,E06000052,Cornwall
198,E04011516,Redruth,E05009238,Redruth North,E06000052,Cornwall
199,E04011516,Redruth,E05009239,Redruth South,E06000052,Cornwall
200,E04011517,Roche,E05009240,Roche,E06000052,Cornwall
201,E04011580,St. Stephen-in-Brannel,E05009240,Roche,E06000052,Cornwall
202,E04011438,Gerrans,E05009241,Roseland,E06000052,Cornwall
203,E04011509,Philleigh,E05009241,Roseland,E06000052,Cornwall
204,E04011518,Ruanlanihorne,E05009241,Roseland,E06000052,Cornwall
205,E04011560,St. Just-in-Roseland,E05009241,Roseland,E06000052,Cornwall
206,E04011571,St. Michael Caerhays,E05009241,Roseland,E06000052,Cornwall
207,E04011572,St. Michael Penkevil,E05009241,Roseland,E06000052,Cornwall
208,E04011602,Veryan,E05009241,Roseland,E06000052,Cornwall
209,E04011526,St. Agnes,E05009242,St Agnes,E06000052,Cornwall
210,E04011417,Carlyon,E05009243,St Austell Bay,E06000052,Cornwall
211,E04011529,St Austell,E05009243,St Austell Bay,E06000052,Cornwall
212,E04011530,St Austell Bay,E05009243,St Austell Bay,E06000052,Cornwall
213,E04011529,St Austell,E05009244,St Austell Bethel,E06000052,Cornwall
214,E04011529,St Austell,E05009245,St Austell Gover,E06000052,Cornwall
215,E04011529,St Austell,E05009246,St Austell Poltair,E06000052,Cornwall
216,E04011531,St. Blaise,E05009247,St Blazey,E06000052,Cornwall
217,E04011601,Tywardreath and Par,E05009247,St Blazey,E06000052,Cornwall
218,E04011478,Madron,E05009248,St Buryan,E06000052,Cornwall
219,E04011501,Paul,E05009248,St Buryan,E06000052,Cornwall
220,E04011520,Sancreed,E05009248,St Buryan,E06000052,Cornwall
221,E04011521,Sennen,E05009248,St Buryan,E06000052,Cornwall
222,E04011534,St. Buryan,E05009248,St Buryan,E06000052,Cornwall
223,E04011564,St. Levan,E05009248,St Buryan,E06000052,Cornwall
224,E04011535,St. Cleer,E05009249,St Cleer,E06000052,Cornwall
225,E04011576,St. Neot,E05009249,St Cleer,E06000052,Cornwall
226,E04011605,Warleggan,E05009249,St Cleer,E06000052,Cornwall
227,E04011538,St. Columb Major,E05009250,St Columb Major,E06000052,Cornwall
228,E04011586,St. Wenn,E05009250,St Columb Major,E06000052,Cornwall
229,E04011540,St. Dennis,E05009251,St Dennis and Nanpean,E06000052,Cornwall
230,E04011580,St. Stephen-in-Brannel,E05009251,St Dennis and Nanpean,E06000052,Cornwall
231,E04011411,Callington,E05009252,"St Dominick, Harrowbarrow and Kelly Bray",E06000052,Cornwall
232,E04011412,Calstock,E05009252,"St Dominick, Harrowbarrow and Kelly Bray",E06000052,Cornwall
233,E04011541,St. Dominick,E05009252,"St Dominick, Harrowbarrow and Kelly Bray",E06000052,Cornwall
234,E04011568,St. Mellion,E05009252,"St Dominick, Harrowbarrow and Kelly Bray",E06000052,Cornwall
235,E04011543,St. Enoder,E05009253,St Enoder,E06000052,Cornwall
236,E04011405,Botusfleming,E05009254,St Germans and Landulph,E06000052,Cornwall
237,E04011455,Landrake with St. Erney,E05009254,St Germans and Landulph,E06000052,Cornwall
238,E04011456,Landulph,E05009254,St Germans and Landulph,E06000052,Cornwall
239,E04011510,Pillaton,E05009254,St Germans and Landulph,E06000052,Cornwall
240,E04011550,St. Germans,E05009254,St Germans and Landulph,E06000052,Cornwall
241,E04011431,Egloshayle,E05009255,St Issey and St Tudy,E06000052,Cornwall
242,E04011532,St. Breock,E05009255,St Issey and St Tudy,E06000052,Cornwall
243,E04011546,St. Ervan,E05009255,St Issey and St Tudy,E06000052,Cornwall
244,E04011547,St. Eval,E05009255,St Issey and St Tudy,E06000052,Cornwall
245,E04011554,St. Issey,E05009255,St Issey and St Tudy,E06000052,Cornwall
246,E04011565,St. Mabyn,E05009255,St Issey and St Tudy,E06000052,Cornwall
247,E04011584,St. Tudy,E05009255,St Issey and St Tudy,E06000052,Cornwall
248,E04011556,St. Ives,E05009256,St Ives East,E06000052,Cornwall
249,E04011556,St. Ives,E05009257,St Ives West,E06000052,Cornwall
250,E04011592,Towednack,E05009257,St Ives West,E06000052,Cornwall
251,E04011559,St. Just,E05009258,St Just In Penwith,E06000052,Cornwall
252,E04011426,Cury,E05009259,St Keverne and Meneage,E06000052,Cornwall
253,E04011441,Gunwalloe,E05009259,St Keverne and Meneage,E06000052,Cornwall
254,E04011442,Gweek,E05009259,St Keverne and Meneage,E06000052,Cornwall
255,E04011480,Manaccan,E05009259,St Keverne and Meneage,E06000052,Cornwall
256,E04011483,Mawgan-in-Meneage,E05009259,St Keverne and Meneage,E06000052,Cornwall
257,E04011528,St. Anthony-in-Meneage,E05009259,St Keverne and Meneage,E06000052,Cornwall
258,E04011561,St. Keverne,E05009259,St Keverne and Meneage,E06000052,Cornwall
259,E04011567,St. Martin-in-Meneage,E05009259,St Keverne and Meneage,E06000052,Cornwall
260,E04011420,Colan,E05009260,St Mawgan and Colan,E06000052,Cornwall
261,E04011484,Mawgan-in-Pydar,E05009260,St Mawgan and Colan,E06000052,Cornwall
262,E04011495,Newquay,E05009260,St Mawgan and Colan,E06000052,Cornwall
263,E04011548,St. Ewe,E05009261,St Mewan,E06000052,Cornwall
264,E04011570,St. Mewan,E05009261,St Mewan,E06000052,Cornwall
265,E04011542,St. Endellion,E05009262,St Minver and St Endellion,E06000052,Cornwall
266,E04011562,St. Kew,E05009262,St Minver and St Endellion,E06000052,Cornwall
267,E04011574,St. Minver Highlands,E05009262,St Minver and St Endellion,E06000052,Cornwall
268,E04011575,St. Minver Lowlands,E05009262,St Minver and St Endellion,E06000052,Cornwall
269,E04011580,St. Stephen-in-Brannel,E05009263,St Stephen-In-Brannel,E06000052,Cornwall
270,E04011399,Advent,E05009264,St Teath and St Breward,E06000052,Cornwall
271,E04011488,Michaelstow,E05009264,St Teath and St Breward,E06000052,Cornwall
272,E04011533,St. Breward,E05009264,St Teath and St Breward,E06000052,Cornwall
273,E04011582,St. Teath,E05009264,St Teath and St Breward,E06000052,Cornwall
274,E04011519,Saltash,E05009265,Saltash East,E06000052,Cornwall
275,E04011519,Saltash,E05009266,Saltash North,E06000052,Cornwall
276,E04011519,Saltash,E05009267,Saltash South,E06000052,Cornwall
277,E04011519,Saltash,E05009268,Saltash West,E06000052,Cornwall
278,E04011467,Lawhitton Rural,E05009269,Stokeclimsland,E06000052,Cornwall
279,E04011470,Lezant,E05009269,Stokeclimsland,E06000052,Cornwall
280,E04011525,South Petherwin,E05009269,Stokeclimsland,E06000052,Cornwall
281,E04011589,Stokeclimsland,E05009269,Stokeclimsland,E06000052,Cornwall
282,E04011599,Trewen,E05009269,Stokeclimsland,E06000052,Cornwall
283,E04011451,Kenwyn,E05009270,Threemilestone and Gloweth,E06000052,Cornwall
284,E04011435,Forrabury and Minster,E05009271,Tintagel,E06000052,Cornwall
285,E04011468,Lesnewth,E05009271,Tintagel,E06000052,Cornwall
286,E04011499,Otterham,E05009271,Tintagel,E06000052,Cornwall
287,E04011558,St. Juliot,E05009271,Tintagel,E06000052,Cornwall
288,E04011590,Tintagel,E05009271,Tintagel,E06000052,Cornwall
289,E04011597,Trevalga,E05009271,Tintagel,E06000052,Cornwall
290,E04011604,Warbstow,E05009271,Tintagel,E06000052,Cornwall
291,E04011591,Torpoint,E05009272,Torpoint East,E06000052,Cornwall
292,E04011591,Torpoint,E05009273,Torpoint West,E06000052,Cornwall
293,E04011428,Deviock,E05009274,Trelawny,E06000052,Cornwall
294,E04011430,Duloe,E05009274,Trelawny,E06000052,Cornwall
295,E04011462,Lanreath,E05009274,Trelawny,E06000052,Cornwall
296,E04011491,Morval,E05009274,Trelawny,E06000052,Cornwall
297,E04011502,Pelynt,E05009274,Trelawny,E06000052,Cornwall
298,E04011600,Truro,E05009275,Truro Boscawen,E06000052,Cornwall
299,E04011600,Truro,E05009276,Truro Redannick,E06000052,Cornwall
300,E04011600,Truro,E05009277,Truro Tregolls,E06000052,Cornwall
301,E04011600,Truro,E05009278,Truro Trehaverne,E06000052,Cornwall
302,E04011431,Egloshayle,E05009279,Wadebridge East,E06000052,Cornwall
303,E04011562,St. Kew,E05009279,Wadebridge East,E06000052,Cornwall
304,E04011603,Wadebridge,E05009279,Wadebridge East,E06000052,Cornwall
305,E04011603,Wadebridge,E05009280,Wadebridge West,E06000052,Cornwall
306,E04012729,Bryher,E05011090,Bryher,E06000053,Isles of Scilly
307,E04012730,St Agnes,E05011091,St Agnes,E06000053,Isles of Scilly
308,E04012731,St Martin's,E05011092,St Martin's,E06000053,Isles of Scilly
309,E04012732,St Mary's,E05011093,St Mary's,E06000053,Isles of Scilly
310,E04012733,Tresco,E05011094,Tresco,E06000053,Isles of Scilly
311,E04011617,Aldbourne,E05008327,Aldbourne and Ramsbury,E06000054,Wiltshire
312,E04011629,Baydon,E05008327,Aldbourne and Ramsbury,E06000054,Wiltshire
313,E04011671,Chilton Foliat,E05008327,Aldbourne and Ramsbury,E06000054,Wiltshire
314,E04011720,Froxfield,E05008327,Aldbourne and Ramsbury,E06000054,Wiltshire
315,E04011802,Ramsbury,E05008327,Aldbourne and Ramsbury,E06000054,Wiltshire
316,E04011618,Alderbury,E05008328,Alderbury and Whiteparish,E06000054,Wiltshire
317,E04011727,Grimstead,E05008328,Alderbury and Whiteparish,E06000054,Wiltshire
318,E04011856,Whiteparish,E05008328,Alderbury and Whiteparish,E06000054,Wiltshire
319,E04011623,Amesbury,E05008329,Amesbury East,E06000054,Wiltshire
320,E04011623,Amesbury,E05008330,Amesbury West,E06000054,Wiltshire
321,E04011701,Durnford,E05008331,Bourne and Woodford Valley,E06000054,Wiltshire
322,E04011741,Idmiston,E05008331,Bourne and Woodford Valley,E06000054,Wiltshire
323,E04011859,Wilsford cum Lake,E05008331,Bourne and Woodford Valley,E06000054,Wiltshire
324,E04011863,Winterbourne,E05008331,Bourne and Woodford Valley,E06000054,Wiltshire
325,E04011869,Woodford,E05008331,Bourne and Woodford Valley,E06000054,Wiltshire
326,E04011683,Colerne,E05008332,Box and Colerne,E06000054,Wiltshire
327,E04012682,Box,E05008332,Box and Colerne,E06000054,Wiltshire
328,E04012688,Corsham,E05008332,Box and Colerne,E06000054,Wiltshire
329,E04011642,Bradford-on-Avon,E05008333,Bradford-on-Avon North,E06000054,Wiltshire
330,E04011642,Bradford-on-Avon,E05008334,Bradford-on-Avon South,E06000054,Wiltshire
331,E04011646,Brinkworth,E05008335,Brinkworth,E06000054,Wiltshire
332,E04011664,Charlton (Brinkworth Ward),E05008335,Brinkworth,E06000054,Wiltshire
333,E04011694,Dauntsey,E05008335,Brinkworth,E06000054,Wiltshire
334,E04011725,Great Somerford,E05008335,Brinkworth,E06000054,Wiltshire
335,E04011730,Hankerton,E05008335,Brinkworth,E06000054,Wiltshire
336,E04011753,Lea and Cleverton,E05008335,Brinkworth,E06000054,Wiltshire
337,E04011757,Little Somerford,E05008335,Brinkworth,E06000054,Wiltshire
338,E04011653,Bromham,E05008336,"Bromham, Rowde and Potterne",E06000054,Wiltshire
339,E04011797,Potterne,E05008336,"Bromham, Rowde and Potterne",E06000054,Wiltshire
340,E04011805,Rowde,E05008336,"Bromham, Rowde and Potterne",E06000054,Wiltshire
341,E04011620,Allington,E05008337,"Bulford, Allington and Figheldean",E06000054,Wiltshire
342,E04011655,Bulford,E05008337,"Bulford, Allington and Figheldean",E06000054,Wiltshire
343,E04011676,Cholderton,E05008337,"Bulford, Allington and Figheldean",E06000054,Wiltshire
344,E04011714,Figheldean,E05008337,"Bulford, Allington and Figheldean",E06000054,Wiltshire
345,E04011776,Milston,E05008337,"Bulford, Allington and Figheldean",E06000054,Wiltshire
346,E04011783,Newton Tony,E05008337,"Bulford, Allington and Figheldean",E06000054,Wiltshire
347,E04011657,Burbage,E05008338,Burbage and the Bedwyns,E06000054,Wiltshire
348,E04011659,Buttermere,E05008338,Burbage and the Bedwyns,E06000054,Wiltshire
349,E04011722,Grafton,E05008338,Burbage and the Bedwyns,E06000054,Wiltshire
350,E04011723,Great Bedwyn,E05008338,Burbage and the Bedwyns,E06000054,Wiltshire
351,E04011729,Ham,E05008338,Burbage and the Bedwyns,E06000054,Wiltshire
352,E04011756,Little Bedwyn,E05008338,Burbage and the Bedwyns,E06000054,Wiltshire
353,E04011812,Shalbourne,E05008338,Burbage and the Bedwyns,E06000054,Wiltshire
