FID,PAR20CD,PAR20NM,WD20CD,WD20NM,LAD20CD,LAD20NM
11319,E04008664,Barton St. David,E05012535,"Northstone, Ivelchester & St Michael's",E07000189,South Somerset
11320,E04008677,The Charltons,E05012535,"Northstone, Ivelchester & St Michael's",E07000189,South Somerset
11321,E04008680,Chilthorne Domer,E05012535,"Northstone, Ivelchester & St Michael's",E07000189,South Somerset
11322,E04008681,Chilton Cantelo,E05012535,"Northstone, Ivelchester & St Michael's",E07000189,South Somerset
11323,E04008710,Ilchester,E05012535,"Northstone, Ivelchester & St Michael's",E07000189,South Somerset
11324,E04008715,Keinton Mandeville,E05012535,"Northstone, Ivelchester & St Michael's",E07000189,South Somerset
11325,E04008717,Kingsdon,E05012535,"Northstone, Ivelchester & St Michael's",E07000189,South Somerset
11326,E04008719,Kingweston,E05012535,"Northstone, Ivelchester & St Michael's",E07000189,South Somerset
11327,E04008722,Limington,E05012535,"Northstone, Ivelchester & St Michael's",E07000189,South Somerset
11328,E04008733,Montacute,E05012535,"Northstone, Ivelchester & St Michael's",E07000189,South Somerset
11329,E04008735,Mudford,E05012535,"Northstone, Ivelchester & St Michael's",E07000189,South Somerset
11330,E04008761,Tintinhull,E05012535,"Northstone, Ivelchester & St Michael's",E07000189,South Somerset
11331,E04008774,Yeovilton,E05012535,"Northstone, Ivelchester & St Michael's",E07000189,South Somerset
11332,E04008682,Chiselborough,E05012536,Parrett,E07000189,South Somerset
11333,E04008698,East Chinnock,E05012536,Parrett,E07000189,South Somerset
11334,E04008702,Haselbury Plucknett,E05012536,Parrett,E07000189,South Somerset
11335,E04008739,North Perrott,E05012536,Parrett,E07000189,South Somerset
11336,E04008765,West and Middle Chinnock,E05012536,Parrett,E07000189,South Somerset
11337,E04008725,Lopen,E05012537,South Petherton,E07000189,South Somerset
11338,E04008748,Seavington St Mary,E05012537,South Petherton,E07000189,South Somerset
11339,E04008749,Seavington St Michael,E05012537,South Petherton,E07000189,South Somerset
11340,E04008750,Shepton Beauchamp,E05012537,South Petherton,E07000189,South Somerset
11341,E04008755,South Petherton,E05012537,South Petherton,E07000189,South Somerset
11342,E04008757,Stocklinch,E05012537,South Petherton,E07000189,South Somerset
11343,E04008768,Whitelackington,E05012537,South Petherton,E07000189,South Somerset
11344,E04008667,Bratton Seymour,E05012538,Tower,E07000189,South Somerset
11345,E04008668,Brewham,E05012538,Tower,E07000189,South Somerset
11346,E04008678,Charlton Musgrove,E05012538,Tower,E07000189,South Somerset
11347,E04008690,Cucklington,E05012538,Tower,E07000189,South Somerset
11348,E04008743,Pitcombe,E05012538,Tower,E07000189,South Somerset
11349,E04008751,Shepton Montague,E05012538,Tower,E07000189,South Somerset
11350,E04012447,Pen Selwood,E05012538,Tower,E07000189,South Somerset
11351,E04012448,Stoke Trister,E05012538,Tower,E07000189,South Somerset
11352,E04008658,Aller,E05012539,Turn Hill,E07000189,South Somerset
11353,E04008704,High Ham,E05012539,Turn Hill,E07000189,South Somerset
11354,E04008724,Long Sutton,E05012539,Turn Hill,E07000189,South Somerset
11355,E04008744,Pitney,E05012539,Turn Hill,E07000189,South Somerset
11356,E04008685,Compton Dundon,E05012540,Wessex,E07000189,South Somerset
11357,E04008752,Somerton,E05012540,Wessex,E07000189,South Somerset
11358,E04008770,Wincanton,E05012541,Wincanton,E07000189,South Somerset
11359,E04008674,Chaffcombe,E05012542,Windwhistle,E07000189,South Somerset
11360,E04008679,Chillington,E05012542,Windwhistle,E07000189,South Somerset
11361,E04008689,Cricket St. Thomas,E05012542,Windwhistle,E07000189,South Somerset
11362,E04008691,Cudworth,E05012542,Windwhistle,E07000189,South Somerset
11363,E04008694,Dinnington,E05012542,Windwhistle,E07000189,South Somerset
11364,E04008696,Dowlish Wake,E05012542,Windwhistle,E07000189,South Somerset
11365,E04008718,Kingstone,E05012542,Windwhistle,E07000189,South Somerset
11366,E04008720,Knowle St. Giles,E05012542,Windwhistle,E07000189,South Somerset
11367,E04008763,Wayford,E05012542,Windwhistle,E07000189,South Somerset
11368,E04008767,West Crewkerne,E05012542,Windwhistle,E07000189,South Somerset
11369,E04008771,Winsham,E05012542,Windwhistle,E07000189,South Somerset
11370,E04008773,Yeovil,E05012543,Yeovil College,E07000189,South Somerset
11371,E04008773,Yeovil,E05012544,Yeovil Lyde,E07000189,South Somerset
11372,E04008671,Brympton,E05012545,Yeovil Summerlands,E07000189,South Somerset
11373,E04008773,Yeovil,E05012545,Yeovil Summerlands,E07000189,South Somerset
11374,E04008775,Yeovil Without,E05012545,Yeovil Summerlands,E07000189,South Somerset
11375,E04008699,East Coker,E05012546,Yeovil Westland,E07000189,South Somerset
11376,E04008766,West Coker,E05012546,Yeovil Westland,E07000189,South Somerset
11377,E04008773,Yeovil,E05012546,Yeovil Westland,E07000189,South Somerset
11378,E04008735,Mudford,E05012547,Yeovil Without,E07000189,South Somerset
11379,E04008775,Yeovil Without,E05012547,Yeovil Without,E07000189,South Somerset
11380,E04008869,Brereton and Ravenhill,E05006902,Brereton and Ravenhill,E07000192,Cannock Chase
11381,E04008870,Bridgtown,E05006905,Cannock South,E07000192,Cannock Chase
11382,E04008871,Brindley Heath,E05006907,Etching Hill and The Heath,E07000192,Cannock Chase
11383,E04008875,Rugeley,E05006907,Etching Hill and The Heath,E07000192,Cannock Chase
11384,E04008875,Rugeley,E05006908,Hagley,E07000192,Cannock Chase
11385,E04008873,Heath Hayes and Wimblebury,E05006909,Hawks Green,E07000192,Cannock Chase
11386,E04008873,Heath Hayes and Wimblebury,E05006910,Heath Hayes East and Wimblebury,E07000192,Cannock Chase
11387,E04008876,Hednesford,E05006911,Hednesford Green Heath,E07000192,Cannock Chase
11388,E04008871,Brindley Heath,E05006912,Hednesford North,E07000192,Cannock Chase
11389,E04008876,Hednesford,E05006912,Hednesford North,E07000192,Cannock Chase
11390,E04008876,Hednesford,E05006913,Hednesford South,E07000192,Cannock Chase
11391,E04008874,Norton Canes,E05006914,Norton Canes,E07000192,Cannock Chase
11392,E04008872,Cannock Wood,E05006915,Rawnsley,E07000192,Cannock Chase
11393,E04008875,Rugeley,E05006916,Western Springs,E07000192,Cannock Chase
11394,E04008882,Croxden,E05006917,Abbey,E07000193,East Staffordshire
11395,E04008890,Leigh,E05006917,Abbey,E07000193,East Staffordshire
11396,E04008904,Uttoxeter Rural,E05006917,Abbey,E07000193,East Staffordshire
11397,E04008908,Anglesey,E05006918,Anglesey,E07000193,East Staffordshire
11398,E04008877,Abbots Bromley,E05006919,Bagots,E07000193,East Staffordshire
11399,E04008880,Blithfield,E05006919,Bagots,E07000193,East Staffordshire
11400,E04008889,Kingstone,E05006919,Bagots,E07000193,East Staffordshire
11401,E04008881,Branston,E05006920,Branston,E07000193,East Staffordshire
11402,E04008895,Outwoods,E05006920,Branston,E07000193,East Staffordshire
11403,E04008909,Brizlincote,E05006921,Brizlincote,E07000193,East Staffordshire
11404,E04008910,Burton,E05006922,Burton,E07000193,East Staffordshire
11405,E04008883,Denstone,E05006923,Churnet,E07000193,East Staffordshire
